data_controlli,persone_controllate,persone_sanzionate,persone_denunciate,esercizi_controllati,esercizi_sanzionati,esercizi_chiusura_provvisoria,esercizi_chiusura,data_documento
2021-01-01,53683,1490,2,9930,106,6,6,2021-01-02
2021-01-02,63090,1070,14,12268,63,16,16,2021-01-03
2021-01-03,73049,1114,6,11333,29,9,11,2021-01-11
2021-01-04,95033,1003,5,13696,51,11,7,2021-01-11
2021-01-05,77906,919,7,13247,53,20,10,2021-01-06
2021-01-06,81053,1244,28,12727,38,12,4,2021-01-07
2021-01-07,89402,679,12,13083,23,6,4,2021-01-11
2021-01-08,93387,680,5,12976,35,13,2,2021-01-09
2021-01-09,83364,1054,5,13048,70,14,6,2021-01-10
2021-01-10,92521,1227,7,12580,42,13,4,2021-01-11
2021-01-11,95380,747,16,14236,24,4,3,2021-01-12
2021-01-12,85845,672,11,14946,45,4,13,2021-01-13
2021-01-13,92835,774,12,15049,34,11,14,2021-01-14
2021-01-14,91963,897,7,14137,32,11,2,2021-01-15
2021-01-15,91467,1364,19,16274,106,40,29,2021-01-16
2021-01-16,80970,1336,13,13130,83,36,16,2021-01-17
2021-01-17,82051,1325,3,11808,65,20,7,2021-01-18
2021-01-18,100641,995,10,15461,51,21,4,2021-01-19